file,price,beds,baths,sqft,yearbuilt,zip,zestimate,zlink,address,dateofsale
boston_sold_02109.csv,279900,1,1,464,1910,2109,279454,http://www.zillow.com/homedetails/45-Fleet-St-APT-2B-Boston-MA-02109/59178237_zpid/,"45 Fleet St, APT 2B, Boston, MA 02109",10/22/12
boston_sold_02109.csv,701000,2,1,1150,1920,2109,706348,http://www.zillow.com/homedetails/440-Commercial-St-APT-402-Boston-MA-02109/71546035_zpid/,"440 Commercial St, APT 402, Boston, MA 02109",10/15/12
boston_sold_02109.csv,1620000,2,2,1571,2008,2109,2339263,http://www.zillow.com/homedetails/2-5-Battery-Wharf-UNIT-4510-Boston-MA-02109/90137207_zpid/,"2-5 Battery Wharf, UNIT 4510, BOSTON, MA 02109",10/4/12
boston_sold_02109.csv,1410000,2,1.5,1180,1911,2109,1231740,http://www.zillow.com/homedetails/300-Commercial-St-APT-906-Boston-MA-02109/59164545_zpid/,"300 Commercial St, APT 906, Boston, MA 02109",10/2/12
boston_sold_02109.csv,929000,2,1,1080,1911,2109,835606,http://www.zillow.com/homedetails/300-Commercial-St-APT-315-Boston-MA-02109/59164477_zpid/,"300 Commercial St, APT 315, Boston, MA 02109",10/1/12
boston_sold_02109.csv,1257000,2,2,1783,1999,2109,1195954,http://www.zillow.com/homedetails/343-Commercial-St-UNIT-304-Boston-MA-02109/59173908_zpid/,"343 Commercial St, UNIT 304, Boston, MA 02109",9/28/12
boston_sold_02109.csv,449500,1,1,775,1890,2109,462763,http://www.zillow.com/homedetails/81-Richmond-St-UNIT-2G-Boston-MA-02109/59164394_zpid/,"81 Richmond St, UNIT 2G, BOSTON, MA 02109",9/27/12
boston_sold_02109.csv,1025000,2,1,805,1860,2109,622379,http://www.zillow.com/homedetails/99-Fulton-St-APT-6-1-Boston-MA-02109/59177723_zpid/,"99 Fulton St, APT 6-1, Boston, MA 02109",9/25/12
boston_sold_02109.csv,1102500,3,2.5,1789,1910,2109,1115317,http://www.zillow.com/homedetails/220-Commercial-St-UNIT-5B-Boston-MA-02109/59164432_zpid/,"220 Commercial St, UNIT 5B, Boston, MA 02109",9/24/12
boston_sold_02109.csv,365000,1,1,650,1900,2109,372782,http://www.zillow.com/homedetails/99-Fulton-St-APT-3-3-Boston-MA-02109/59177707_zpid/,"99 Fulton St, APT 3-3, Boston, MA 02109",9/17/12
boston_sold_02109.csv,699000,2,2,1445,1987,2109,713325,http://www.zillow.com/homedetails/357-Commercial-St-APT-501-Boston-MA-02109/59164082_zpid/,"357 Commercial St, APT 501, Boston, MA 02109",9/11/12
boston_sold_02109.csv,390000,1,1,680,1899,2109,357402,http://www.zillow.com/homedetails/406-Commercial-St-UNIT-6-Boston-MA-02109/59164245_zpid/,"406 Commercial St, UNIT 6, BOSTON, MA 02109",9/10/12
boston_sold_02109.csv,1425000,2,2,1397,2008,2109,1376919,http://www.zillow.com/homedetails/2-5-Battery-Wharf-UNIT-4607-Boston-MA-02109/90138172_zpid/,"2-5 Battery Wharf, UNIT 4607, BOSTON, MA 02109", 9/6/12
boston_sold_02109.csv,1600000,2,2.5,2163,2008,2109,2105582,http://www.zillow.com/homedetails/2-5-Battery-Wharf-UNIT-2408-Boston-MA-02109/90138002_zpid/,"2-5 Battery Wharf, UNIT 2408, BOSTON, MA 02109", 9/6/12
boston_sold_02110.csv,829000,1,1.5,1133,1875,2110,805579,http://www.zillow.com/homedetails/40-Commercial-Wharf-UNIT-40-Boston-MA-02110/81858384_zpid/,"40 Commercial Wharf, UNIT 40, Boston, MA 02110",3/1/13
boston_sold_02110.csv,515000,1,1,757,1972,2110,509551,http://www.zillow.com/homedetails/65-E-India-Row-APT-38D-Boston-MA-02110/59175227_zpid/,"65 E India Row, APT 38D, Boston, MA 02110", 2/20/13
